id_distrito_fecha_hora_trunc;fecha_hora_truncada_accidente;cod_distrito;intensidad_vehiculos
01-2023-03-14 06:00:00;2023-03-14 06:00:00;1;781.5
01-2023-03-14 07:00:00;2023-03-14 07:00:00;1;1980.09
01-2023-03-14 11:00:00;2023-03-14 11:00:00;1;2351.95
01-2023-03-14 13:00:00;2023-03-14 13:00:00;1;2401.73
01-2023-03-14 15:00:00;2023-03-14 15:00:00;1;2392.21
01-2023-03-14 20:00:00;2023-03-14 20:00:00;1;2334.23
01-2023-03-15 13:00:00;2023-03-15 13:00:00;1;2422.23
01-2023-03-15 19:00:00;2023-03-15 19:00:00;1;2484.71
01-2023-03-16 04:00:00;2023-03-16 04:00:00;1;688.57
01-2023-03-16 08:00:00;2023-03-16 08:00:00;1;2432.29
01-2023-03-16 14:00:00;2023-03-16 14:00:00;1;2537.39
01-2023-03-16 18:00:00;2023-03-16 18:00:00;1;2503.4
01-2023-03-17 01:00:00;2023-03-17 01:00:00;1;968.49
01-2023-03-17 02:00:00;2023-03-17 02:00:00;1;759.33
01-2023-03-17 09:00:00;2023-03-17 09:00:00;1;2403.12
01-2023-03-17 11:00:00;2023-03-17 11:00:00;1;2437.15
01-2023-03-17 13:00:00;2023-03-17 13:00:00;1;2444.72
01-2023-03-17 16:00:00;2023-03-17 16:00:00;1;2315.51
01-2023-03-17 17:00:00;2023-03-17 17:00:00;1;2341.54
01-2023-03-17 19:00:00;2023-03-17 19:00:00;1;2349.79
01-2023-03-18 01:00:00;2023-03-18 01:00:00;1;1490.37
01-2023-03-18 13:00:00;2023-03-18 13:00:00;1;2252.19
01-2023-03-18 14:00:00;2023-03-18 14:00:00;1;2212.38
01-2023-03-18 18:00:00;2023-03-18 18:00:00;1;1987.02
01-2023-03-18 22:00:00;2023-03-18 22:00:00;1;1840.28
01-2023-03-19 01:00:00;2023-03-19 01:00:00;1;1532.21
01-2023-03-19 05:00:00;2023-03-19 05:00:00;1;920.09
01-2023-03-19 12:00:00;2023-03-19 12:00:00;1;1733.8
01-2023-03-19 22:00:00;2023-03-19 22:00:00;1;1289.74
01-2023-03-20 22:00:00;2023-03-20 22:00:00;1;1194.64
01-2023-03-21 03:00:00;2023-03-21 03:00:00;1;360.95
01-2023-03-21 08:00:00;2023-03-21 08:00:00;1;2255.3
01-2023-03-21 10:00:00;2023-03-21 10:00:00;1;2163.08
01-2023-03-21 16:00:00;2023-03-21 16:00:00;1;2048.02
01-2023-03-22 17:00:00;2023-03-22 17:00:00;1;2436.83
01-2023-03-23 08:00:00;2023-03-23 08:00:00;1;2430.0
01-2023-03-23 09:00:00;2023-03-23 09:00:00;1;2480.92
01-2023-03-23 10:00:00;2023-03-23 10:00:00;1;2475.45
01-2023-03-23 13:00:00;2023-03-23 13:00:00;1;2511.01
01-2023-03-23 14:00:00;2023-03-23 14:00:00;1;2545.33
01-2023-03-23 16:00:00;2023-03-23 16:00:00;1;2408.72
01-2023-03-23 18:00:00;2023-03-23 18:00:00;1;2500.53
01-2023-03-23 20:00:00;2023-03-23 20:00:00;1;2445.74
01-2023-03-24 06:00:00;2023-03-24 06:00:00;1;1165.95
01-2023-03-24 09:00:00;2023-03-24 09:00:00;1;2473.17
01-2023-03-24 16:00:00;2023-03-24 16:00:00;1;2380.79
01-2023-03-24 17:00:00;2023-03-24 17:00:00;1;2360.75
01-2023-03-24 20:00:00;2023-03-24 20:00:00;1;2489.42
01-2023-03-24 21:00:00;2023-03-24 21:00:00;1;2375.22
01-2023-03-25 06:00:00;2023-03-25 06:00:00;1;937.44
01-2023-03-25 19:00:00;2023-03-25 19:00:00;1;1749.47
01-2023-03-25 23:00:00;2023-03-25 23:00:00;1;1749.44
01-2023-03-26 11:00:00;2023-03-26 11:00:00;1;1500.6
01-2023-03-26 13:00:00;2023-03-26 13:00:00;1;1578.86
01-2023-03-26 23:00:00;2023-03-26 23:00:00;1;1218.09
01-2023-03-27 00:00:00;2023-03-27 00:00:00;1;981.13
01-2023-03-27 19:00:00;2023-03-27 19:00:00;1;2390.57
01-2023-03-27 20:00:00;2023-03-27 20:00:00;1;2151.53
01-2023-03-28 03:00:00;2023-03-28 03:00:00;1;380.57
01-2023-03-28 17:00:00;2023-03-28 17:00:00;1;2434.66
01-2023-03-29 12:00:00;2023-03-29 12:00:00;1;2438.49
01-2023-03-29 19:00:00;2023-03-29 19:00:00;1;2515.71
01-2023-03-30 01:00:00;2023-03-30 01:00:00;1;896.74
01-2023-03-30 02:00:00;2023-03-30 02:00:00;1;655.3
01-2023-03-30 07:00:00;2023-03-30 07:00:00;1;1973.69
01-2023-03-30 13:00:00;2023-03-30 13:00:00;1;1569.88
01-2023-03-30 17:00:00;2023-03-30 17:00:00;1;2364.05
01-2023-03-31 09:00:00;2023-03-31 09:00:00;1;2355.04
01-2023-03-31 13:00:00;2023-03-31 13:00:00;1;2554.54
01-2023-03-31 17:00:00;2023-03-31 17:00:00;1;2354.15
01-2023-03-31 21:00:00;2023-03-31 21:00:00;1;2239.05
01-2023-03-31 22:00:00;2023-03-31 22:00:00;1;1942.47
01-2023-04-01 00:00:00;2023-04-01 00:00:00;1;1638.82
01-2023-04-01 12:00:00;2023-04-01 12:00:00;1;1933.88
01-2023-04-01 14:00:00;2023-04-01 14:00:00;1;2059.19
01-2023-04-01 19:00:00;2023-04-01 19:00:00;1;1968.22
01-2023-04-01 21:00:00;2023-04-01 21:00:00;1;2033.6
01-2023-04-02 12:00:00;2023-04-02 12:00:00;1;1688.25
01-2023-04-02 20:00:00;2023-04-02 20:00:00;1;1646.34
